# 12 month-opener 節氣 instants, JPL DE440s via Skyfield (tools/generate_solar_terms.py). year = KST calendar year.
year,term,utc
1924,芒種,1924-06-06T00:01:13Z
1924,小暑,1924-07-07T10:29:06Z
1924,立秋,1924-08-07T20:11:56Z
1924,白露,1924-09-07T22:45:12Z
1924,寒露,1924-10-08T13:51:51Z
1924,立冬,1924-11-07T16:28:54Z
1924,大雪,1924-12-07T08:52:41Z
1925,小寒,1925-01-05T19:52:56Z
1925,立春,1925-02-04T07:36:27Z
1925,驚蟄,1925-03-06T01:59:31Z
1925,淸明,1925-04-05T07:22:08Z
1925,立夏,1925-05-06T01:17:31Z
1925,芒種,1925-06-06T05:56:04Z
1925,小暑,1925-07-07T16:24:36Z
1925,立秋,1925-08-08T02:06:47Z
1925,白露,1925-09-08T04:39:43Z
1925,寒露,1925-10-08T19:47:04Z
1925,立冬,1925-11-07T22:25:55Z
1925,大雪,1925-12-07T14:51:59Z
1926,小寒,1926-01-06T01:53:59Z
1926,立春,1926-02-04T13:37:56Z
1926,驚蟄,1926-03-06T07:59:22Z
1926,淸明,1926-04-05T13:17:59Z
1926,立夏,1926-05-06T07:08:02Z
1926,芒種,1926-06-06T11:41:20Z
1926,小暑,1926-07-07T22:05:18Z
1926,立秋,1926-08-08T07:43:54Z
1926,白露,1926-09-08T10:15:34Z
1926,寒露,1926-10-09T01:24:34Z
1926,立冬,1926-11-08T04:07:23Z
1926,大雪,1926-12-07T20:38:21Z
1927,小寒,1927-01-06T07:44:19Z
1927,立春,1927-02-04T19:29:44Z
1927,驚蟄,1927-03-06T13:49:58Z
1927,淸明,1927-04-05T19:05:48Z
1927,立夏,1927-05-06T12:52:45Z
1927,芒種,1927-06-06T17:24:26Z
1927,小暑,1927-07-08T03:49:38Z
1927,立秋,1927-08-08T13:31:06Z
1927,白露,1927-09-08T16:05:08Z
1927,寒露,1927-10-09T07:14:47Z
1927,立冬,1927-11-08T09:56:36Z
1927,大雪,1927-12-08T02:26:00Z
1928,小寒,1928-01-06T13:30:53Z
1928,立春,1928-02-05T01:16:04Z
1928,驚蟄,1928-03-05T19:36:57Z
1928,淸明,1928-04-05T00:54:14Z
1928,立夏,1928-05-05T18:43:11Z
1928,芒種,1928-06-05T23:16:50Z
1928,小暑,1928-07-07T09:43:57Z
1928,立秋,1928-08-07T19:27:12Z
1928,白露,1928-09-07T22:01:27Z
1928,寒露,1928-10-08T13:09:34Z
1928,立冬,1928-11-07T15:49:12Z
1928,大雪,1928-12-07T08:16:59Z
1929,小寒,1929-01-05T19:21:43Z
1929,立春,1929-02-04T07:08:25Z
1929,驚蟄,1929-03-06T01:31:40Z
1929,淸明,1929-04-05T06:50:55Z
1929,立夏,1929-05-06T00:40:02Z
1929,芒種,1929-06-06T05:10:30Z
1929,小暑,1929-07-07T15:31:21Z
1929,立秋,1929-08-08T01:08:24Z
1929,白露,1929-09-08T03:39:16Z
1929,寒露,1929-10-08T18:46:43Z
1929,立冬,1929-11-07T21:27:09Z
1929,大雪,1929-12-07T13:56:06Z
1930,小寒,1930-01-06T01:02:14Z
1930,立春,1930-02-04T12:50:49Z
1930,驚蟄,1930-03-06T07:16:16Z
1930,淸明,1930-04-05T12:37:05Z
1930,立夏,1930-05-06T06:26:41Z
1930,芒種,1930-06-06T10:57:44Z
1930,小暑,1930-07-07T21:19:22Z
1930,立秋,1930-08-08T06:56:40Z
1930,白露,1930-09-08T09:28:04Z
1930,寒露,1930-10-09T00:37:09Z
1930,立冬,1930-11-08T03:19:53Z
1930,大雪,1930-12-07T19:50:19Z
1931,小寒,1931-01-06T06:55:17Z
1931,立春,1931-02-04T18:40:19Z
1931,驚蟄,1931-03-06T13:01:47Z
1931,淸明,1931-04-05T18:20:06Z
1931,立夏,1931-05-06T12:09:15Z
1931,芒種,1931-06-06T16:41:26Z
1931,小暑,1931-07-08T03:05:17Z
1931,立秋,1931-08-08T12:44:35Z
1931,白露,1931-09-08T15:16:59Z
1931,寒露,1931-10-09T06:26:33Z
1931,立冬,1931-11-08T09:09:33Z
1931,大雪,1931-12-08T01:39:57Z
1932,小寒,1932-01-06T12:44:46Z
1932,立春,1932-02-05T00:29:02Z
1932,驚蟄,1932-03-05T18:49:01Z
1932,淸明,1932-04-05T00:06:00Z
1932,立夏,1932-05-05T17:54:49Z
1932,芒種,1932-06-05T22:27:26Z
1932,小暑,1932-07-07T08:51:58Z
1932,立秋,1932-08-07T18:31:30Z
1932,白露,1932-09-07T21:02:33Z
1932,寒露,1932-10-08T12:09:18Z
1932,立冬,1932-11-07T14:49:21Z
1932,大雪,1932-12-07T07:18:03Z
1933,小寒,1933-01-05T18:23:01Z
1933,立春,1933-02-04T06:08:57Z
1933,驚蟄,1933-03-06T00:31:06Z
1933,淸明,1933-04-05T05:50:10Z
1933,立夏,1933-05-05T23:41:25Z
1933,芒種,1933-06-06T04:17:01Z
1933,小暑,1933-07-07T14:43:59Z
1933,立秋,1933-08-08T00:25:12Z
1933,白露,1933-09-08T02:57:08Z
1933,寒露,1933-10-08T18:03:35Z
1933,立冬,1933-11-07T20:42:40Z
1933,大雪,1933-12-07T13:10:47Z
1934,小寒,1934-01-06T00:16:09Z
1934,立春,1934-02-04T12:03:18Z
1934,驚蟄,1934-03-06T06:26:00Z
1934,淸明,1934-04-05T11:43:19Z
1934,立夏,1934-05-06T05:30:24Z
1934,芒種,1934-06-06T10:01:03Z
1934,小暑,1934-07-07T20:24:06Z
1934,立秋,1934-08-08T06:03:19Z
1934,白露,1934-09-08T08:35:49Z
1934,寒露,1934-10-08T23:44:40Z
1934,立冬,1934-11-08T02:26:22Z
1934,大雪,1934-12-07T18:56:12Z
1935,小寒,1935-01-06T06:02:01Z
1935,立春,1935-02-04T17:48:22Z
1935,驚蟄,1935-03-06T12:09:51Z
1935,淸明,1935-04-05T17:26:01Z
1935,立夏,1935-05-06T11:11:43Z
1935,芒種,1935-06-06T15:41:16Z
1935,小暑,1935-07-08T02:05:14Z
1935,立秋,1935-08-08T11:47:30Z
1935,白露,1935-09-08T14:23:46Z
1935,寒露,1935-10-09T05:35:20Z
1935,立冬,1935-11-08T08:17:12Z
1935,大雪,1935-12-08T00:44:32Z
1936,小寒,1936-01-06T11:46:19Z
1936,立春,1936-02-04T23:28:57Z
1936,驚蟄,1936-03-05T17:48:47Z
1936,淸明,1936-04-04T23:06:24Z
1936,立夏,1936-05-05T16:56:10Z
1936,芒種,1936-06-05T21:30:21Z
1936,小暑,1936-07-07T07:57:59Z
1936,立秋,1936-08-07T17:42:51Z
1936,白露,1936-09-07T20:20:15Z
1936,寒露,1936-10-08T11:32:06Z
1936,立冬,1936-11-07T14:14:20Z
1936,大雪,1936-12-07T06:41:55Z
1937,小寒,1937-01-05T17:43:26Z
1937,立春,1937-02-04T05:25:14Z
1937,驚蟄,1937-03-05T23:44:06Z
1937,淸明,1937-04-05T05:01:03Z
1937,立夏,1937-05-05T22:50:16Z
1937,芒種,1937-06-06T03:22:31Z
1937,小暑,1937-07-07T13:45:38Z
1937,立秋,1937-08-07T23:25:03Z
1937,白露,1937-09-08T01:59:05Z
1937,寒露,1937-10-08T17:10:35Z
1937,立冬,1937-11-07T19:54:56Z
1937,大雪,1937-12-07T12:25:58Z
1938,小寒,1938-01-05T23:30:50Z
1938,立春,1938-02-04T11:14:39Z
1938,驚蟄,1938-03-06T05:33:27Z
1938,淸明,1938-04-05T10:48:19Z
1938,立夏,1938-05-06T04:34:51Z
1938,芒種,1938-06-06T09:06:19Z
